,СОШ,Наличие
0,АКАДЕМИЧЕСКИЙ ЛИЦЕЙ Г. БУЙНАКСКА,
1,ГБОУ РЛИ ЦОД,
2,ГБОУ РМЛИ ДОД,YES
3,ГБОУ РЦО,
4,ГБУ Карабаглинская СОШ,YES
5,ГБУ Новомугурухская СОШ,YES
6,ГКОУ  Нагуратлинская СОШ,
7,ГКОУ  Первомайская СОШ,YES
8,ГКОУ Айтханская СОШ,YES
9,ГКОУ Акаринская ООШ,YES
10,ГКОУ Арадинская СОШ,YES
11,ГКОУ Аркидинская СОШ,YES
12,ГКОУ Ахтининская СОШ,YES
13,ГКОУ Бабаюртовская СШИ №11,
14,ГКОУ Бавтугайская спец. ШИ,
15,ГКОУ БСШИ №3,
16,ГКОУ БСШИ №7,
17,ГКОУ Буденовская СОШ,
18,ГКОУ ГГИМХО,YES
19,ГКОУ ГО ШИ №2,
20,ГКОУ Гондокаринская СОШ,
21,ГКОУ Горьковская ООШ,YES
22,ГКОУ Дарада-мурадинский лицей,
23,ГКОУ Дахадаевская ООШ,YES
24,ГКОУ Дербентская школа-интернат №2,
25,ГКОУ Джугутская основная ООШ,
26,ГКОУ Джурмутская СОШ,YES
27,ГКОУ Ибрагимотарская СОШ,YES
28,ГКОУ Индиранская СОШ,YES
29,ГКОУ Казиюртовская СОШ,YES
30,ГКОУ Кальялская СОШ,YES
31,ГКОУ Камбулатская СОШ,YES
32,ГКОУ Камилухская СОШ,YES
33,ГКОУ Каратюбинская ООШ,YES
34,ГКОУ Караузекская СОШ,YES
35,ГКОУ Карашинская СОШ,YES
36,ГКОУ Качалайская СОШ,YES
37,ГКОУ КГИ «Культура мира,
38,ГКОУ КГИ КУЛЬТУРА МИРА г.Кизляр,
39,ГКОУ Кикуникутанская ООШ,YES
40,ГКОУ Кировская СОШ,YES
41,ГКОУ Красносельская СОШ,YES
42,ГКОУ КСКОШИ  Карабудахкент,
43,ГКОУ КСОШИ,
44,ГКОУ Кубинская СОШ,YES
45,ГКОУ КУРМИНСКАЯ СШИ,
46,ГКОУ Мазадинская СОШ,YES
47,ГКОУ Нанибиканская СОШ,YES
48,ГКОУ Нарышская ООШ,YES
