,Наименование,Адрес,ИНН,Контакты
0,"ГКОУ РД ""НАГУРАТЛИНСКАЯ СОШ ГУНИБСКОГО РАЙОНА""","368350, ДАГЕСТАН РЕСП, ГУНИБСКИЙ Р-Н, ЧОХ С, ДОМ 0",516008405.0,8 (928) 684-31-99
1,"ГКОУ РД ""ПЕРВОМАЙСКАЯ СОШ ГУМБЕТОВСКОГО РАЙОНА""","368930, ДАГЕСТАН РЕСП, ГУМБЕТОВСКИЙ Р-Н, ШАБДУХ С, ЦЕНТРАЛЬНАЯ УЛ, ДОМ 35",505008210.0,8 (928) 961-94-49
2,"ГКОУ РД ""АКАРИНСКАЯ ООШ""","368111, ДАГЕСТАН РЕСПУБЛИКА, РАЙОН КИЗИЛЮРТОВСКИЙ, СЕЛО ЧОНТАУЛ",516008606.0,8 (903) 427-03-64
3,"ГКОУ РД ""АРАДИНСКАЯ СОШ ХУНЗАХСКОГО РАЙОНА ИМ. ГАЛБАЦОВА Г.К.""","368083, ДАГЕСТАН РЕСП, КУМТОРКАЛИНСКИЙ Р-Н, АДЖИДАДА С, ШКОЛЬНАЯ УЛ, ДОМ 1",516008525.0,8 (928) 571-29-20
4,"ГКОУ РД ""БУДЕНОВСКАЯ ООШ АХВАХСКОГО РАЙОНА""","368000, ДАГЕСТАН РЕСП, ХАСАВЮРТОВСКИЙ Р-Н, БУДЕНОВКА С, д",534029768.0,8 (963) 413-47-14
5,"ГКОУ РД ""ДАРАДА-МУРАДИНСКИЙ ЛИЦЕЙ ГЕРГЕБИЛЬСКОГО РАЙОНА""","368083, ДАГЕСТАН РЕСПУБЛИКА, РАЙОН КУМТОРКАЛИНСКИЙ, СЕЛО АДЖИДАДА",552004438.0,8 (928) 680-28-18
6,"ГКОУ РД ""ДЖУГУТСКАЯ ООШ БОТЛИХСКОГО РАЙОНА""","368124, ДАГЕСТАН РЕСП, КИЗИЛЮРТ Г, МАЛАГУСЕЙНОВА УЛ, ДОМ 72",546019683.0,8 (928) 585-73-04
7,"ГКОУ РД ""ИНДИРАНСКАЯ СОШ АХВАХСКОГО РАЙОНА""","368995, ДАГЕСТАН РЕСП, АХВАХСКИЙ Р-Н, АНЧИХ С, АНЧИХСКАЯ УЛ, ДОМ 2",505008153.0,8 (928) 961-62-04
8,"ГКОУ РД ""КАМИЛУХСКАЯ СОШ ТЛЯРАТИНСКОГО РАЙОНА""","368425, ДАГЕСТАН РЕСП, ТЛЯРАТИНСКИЙ Р-Н, КАМИЛУХ С, ДАЛГАТА ОМАРОВА УЛ, ДОМ 27",532002721.0,
9,"ГКОУ РД ""КРАСНОСЕЛЬСКАЯ СОШ ХУНЗАХСКОГО РАЙОНА""","368124, ДАГЕСТАН РЕСП, КИЗИЛЮРТ Г, Г.ЦАДАСА УЛ, 4, А",516008469.0,8 (928) 502-01-01
10,"ГКОУ РД ""НАНИБИКАНСКАЯ СОШ ГУМБЕТОВСКОГО РАЙОНА""","368921, ДАГЕСТАН РЕСП, ГУМБЕТОВСКИЙ Р-Н, НАНИБИКА С, д",509105454.0,8 (929) 050-13-06
