,Наименование,Юридическое наименование,ИНН,Телефон,Юридический адрес
0,ГКОУХАСАВЮРТОВСКАЯШКОЛАИНТЕРНАТ№9,"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ РД ""ХАСАВЮРТОВСКАЯ ШКОЛА-ИНТЕРНАТ № 9""",544020210,8 (87231) 5-13-30,"368001, ДАГЕСТАН РЕСПУБЛИКА, ГОРОД ХАСАВЮРТ, ПЕРЕУЛОК ШКОЛЬНЫЙ, 2"
1,ГКОУКГИКУЛЬТУРАМИРА,"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ ДАГЕСТАН ""КИЗЛЯРСКАЯ ГИМНАЗИЯ-ИНТЕРНАТ ""КУЛЬТУРА МИРА""",547001417,8 (87239) 2-36-87,"368830, ДАГЕСТАН РЕСП, КИЗЛЯР Г, ЦИОЛКОВСКОГО УЛ, 1, А"
2,ГКОУБСШИИМ.М.Г.ГАМЗАТОВА,"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ ДАГЕСТАН ""БАВТУГАЙСКАЯ  СПЕЦИАЛИЗИРОВАННАЯ ШКОЛА - ИНТЕРНАТ ИМ. М. Г. ГАМЗАТОВА""",546011349,8 (888) 888-88-88,"368101, ДАГЕСТАН РЕСП, КИЗИЛЮРТ Г, БАВТУГАЙ ПГТ, ИНТЕРНАТСКАЯ УЛ"
3,ГКОУОБЩЕОБРАЗОВАТЕЛЬНАЯШКОЛАИНТЕРНАТС.ЧЕРНЯЕВКА,"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ ДАГЕСТАН ""ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА-ИНТЕРНАТ С.ЧЕРНЯЕВКА""",517000617,5-51-84,"368812, ДАГЕСТАН РЕСПУБЛИКА, РАЙОН КИЗЛЯРСКИЙ, СЕЛО ЧЕРНЯЕВКА"
4,ГКОУКИКУНИКУТАНСКАЯООШГЕРГЕБИЛЬСКОГОРАЙОНА,"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ ДАГЕСТАН ""КИКУНИКУТАНСКАЯ ОСНОВНАЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА ГЕРГЕБИЛЬСКОГО РАЙОНА""",508008641,8 (928) 525-71-45,"368241, ДАГЕСТАН РЕСП, ГЕРГЕБИЛЬСКИЙ Р-Н, КИКУНИ С, ЦЕНТРАЛЬНАЯ УЛ, ДОМ 7"
5,ГКОУДЖУГУТСКАЯООШБОТЛИХСКОГОРАЙОНА,"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ ДАГЕСТАН ""ДЖУГУТСКАЯ ОСНОВНАЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА БОТЛИХСКОГО РАЙОНА""",546019683,8 (928) 585-73-04,"368124, ДАГЕСТАН РЕСП, КИЗИЛЮРТ Г, МАЛАГУСЕЙНОВА УЛ, ДОМ 72"
6,ГКОУСВЕЛОВСКАЯСОШТЛЯРАТИНСКОГОРАЙОНА,"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ ДАГЕСТАН ""СВЕРДЛОВСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА ТЛЯРАТИНСКОГО РАЙОНА""",505008570,8 (928) 978-94-92,"368420, ДАГЕСТАН РЕСП, ТЛЯРАТИНСКИЙ Р-Н, КУТЛАБ С, ШАМИЛЯ МАГОМЕДОВА УЛ, ДОМ 185"
7,ГКОУСОШБОТЛИХСКОГОРАЙОНА,"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ ДАГЕСТАН ""СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА БОТЛИХСКОГО РАЙОНА""",505008562,8 (928) 063-36-64,"368974, ДАГЕСТАН РЕСПУБЛИКА, РАЙОН БОТЛИХСКИЙ, СЕЛО АЛАК"
8,ГКОУАЙТХАНСКАЯСОШБОТЛИХСКОГОРАЙОНА,"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ ДАГЕСТАН ""АЙТХАНСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА БОТЛИХСКОГО РАЙОНА""",505008178,8 (928) 565-19-94,"368977, ДАГЕСТАН РЕСПУБЛИКА, РАЙОН БОТЛИХСКИЙ, СЕЛО АШАЛИ"
9,ГКОУКУБИНСКАЯСОШЛАКСКОГОРАЙОНА,"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ ДАГЕСТАН ""КУБИНСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА ЛАКСКОГО РАЙОНА""",505008202,8 (928) 839-75-42,"368362, ДАГЕСТАН РЕСП, ЛАКСКИЙ Р-Н, ТУРЗАН С, д"
