Полное наименование учреждения;Полное наименование учреждения 2;Муниципальное образование; Тип населённого пункта;Наименование населенного пункта; Адрес учреждения;Широта;Долгота;Тип подключения (сущ.);Скорость подключения (сущ.), Мбит/с;Провайдер (сущ.);Тип подключения (план);Скорость подключения (план), Мбит/с;Дата планируемого подключения;
МКОО АСОШ
МКОО ШИЛЯГИНСКАЯ СОШ
МКОУ 1-ЦОВКРИНСКАЯ ООШ
МКОУ 2-ЦОВКРИНСКАЯ СОШ
МКОУ АГАДИНСКАЯ СОШ
МКОУ Агвалинская СОШ
МКОУ АДЖИМАЖАГАТЮРТОВСКАЯ СОШ
МКОУ АДИЛЬЯНГИЮРТОВСКАЯ СОШ
МКОУ АЗАДОГЛЫНСКАЯ СОШ
МКОУ Аймакинская СОШ Герг-й район
МКОУ АЙМАУМАХИНСКАЯ СОШ
МКОУ АКБУЛАТЮРТОВСКАЯ СОШ
МКОУ АКНАДИНСКАЯ СОШ
МКОУ Акушинская СОШ_1 им. Кирова
МКОУ АЛАДАШСКАЯ СОШ
МКОУ Александрийская СОШ
МКОУ Амушинская СОШ
МКОУ АНДИЙСКАЯ СОШ №1
МКОУ АНДИЙСКАЯ СОШ №2
МКОУ Андыхская СОШ
МКОУ А-НЕВСКАЯ СОШ
МКОУ АНСАЛТИНСКАЯ СОШ
МКОУ АООШ
МКОУ АООШ Казбек. р-он
МКОУ АРАБЛЯРСКАЯ СОШ
МКОУ АРАДА- ЧУГЛИНСКАЯ СОШ
МКОУ АРАДИРИХСКАЯ СОШ
МКОУ АРАКАНСКАЯ СОШ
МКОУ АРАКСКАЯ СОШ
МКОУ АРШИНСКАЯ СОШ
МКОУ АСАЛИКЕНТСКАЯ ООШ
МКОУ АСОШ
МКОУ АССАБСКАЯ СОШ
МКОУ АХАРСКАЯ СОШ
МКОУ АЧИСИНСКАЯ СОШ №2
МКОУ АШАГАКАРТАССКАЯ ООШ
МКОУ АШАГАСТАЛЬСКАЯ СОШ
МКОУ АШАГА-ЯРАКСКАЯ СОШ
МКОУ АШАЛИНСКАЯ ООШ
МКОУ АШАРСКАЯ СОШ
МКОУ АЯЛАКАБСКАЯ СОШ
МКОУ АЯЛИЗИМАХИНСКАЯ СОШ
МКОУ Бабаюр-ая СОШ №1 им. Арзулумова
МКОУ БАЙРАМАУЛЬСКАЯ СОШ
МКОУ БАЛТАМАХИНСКАЯ СОШ
МКОУ БАНАЙЮРТОВСКАЯ СОШ
МКОУ БАРНАБСКАЯ ООШ
МКОУ БАТЫР-МУРЗАЕВСКАЯ СОШ
МКОУ Большезадоевская СОШ
МКОУ Бондареновская ООШ
МКОУ БОРАНЧИНСКАЯ СОШ
МКОУ Боташюртовская СОШ им Ахаева
МКОУ БОТАЮРТОВСКАЯ СОШ
МКОУ Брянская СОШ
МКОУ БСОШ
МКОУ БУРГАНКЕНТСКАЯ СОШ
МКОУ БУРДЕКИНСКАЯ СОШ
МКОУ БУРХИМАХИНСКАЯ СОШ
МКОУ БУХТЫНСКАЯ СОШ
МКОУ ВАНАШИМАХИНСКАЯ СОШ
МКОУ ВАРСИТСКАЯ СОШ
