,СОШ,Наличие
0,ГКОУ Айтханская СОШ Ботлихского района ,YES
1,ГКОУ Акаринская ООШ Хунзахского района,YES
2,ГКОУ Арадинская СОШ Хунзахского района,YES
3,ГКОУ Аркидинская СОШ Хунзахского района,YES
4,ГКОУ Ахтининская СОШ Хунзахского района,YES
5,ГКОУ Буденовская ООШ Ахвахского района,
6,ГКОУ Бутушская школа-сад,
7,ГКОУ Гондокоринская ООШ Хунзахского района,
8,ГКОУ Горьковская ООШ Унцукульского района,YES
9,ГКОУ Дарадамурадинский лицей Гергебильского района,YES
10,ГКОУ Дахадаевская ООШ Тляратинского района,YES
11,ГКОУ Джугутская ООШ Ботлихского района,YES
12,ГКОУ Джурмутская СОШ Тляратинского района,YES
13,ГКОУ Ибрагимотарская СОШ Тляратинского района,YES
14,ГКОУ Индиранская СОШ Ахвахского района,YES
15,ГКОУ Казиюртовская СОШ Ахвахского района,YES
16,ГКОУ Кальялская СОШ,YES
17,ГКОУ Камбулатская СОШ Рутульского района,YES
18,ГКОУ Камилухская СОШ Тляратинского района,YES
19,ГКОУ Каратюбинская ООШ Тляратинского района,YES
20,ГКОУ Караузекская СОШ Цунтинского района,YES
21,ГКОУ Карашинская СОШ Лакского района,YES
22,ГКОУ Качалайская СОШ Цунтинского района,YES
23,ГКОУ Кикуникутанская ООШ Гергебильского района,YES
24,ГКОУ Кировская СОШ Тляратинского района,YES
25,ГКОУ Красносельская СОШ Хунзахского района,YES
26,ГКОУ Кубинская СОШ Лакского района,YES
27,ГКОУ Львовская НОШ Акушинского района,
28,ГКОУ Мазадинская СОШ Тляратинского района,YES
29,ГКОУ Нагуратлинская СОШ Гунибского района,
30,ГКОУ Нанибиканская СОШ Гумбетовского района,YES
31,ГКОУ Нарышская ООШ Гумбетовского района,YES
32,ГКОУ Новоборчинская СОШ Рутульского района,YES
33,ГКОУ Новобухтынская СОШ Гунибского района,YES
34,ГКОУ Новогагарская ООШ Тляратинского района,YES
35,ГКОУ Новоданухская СОШ Гумбетовского района,YES
36,ГКОУ Новомегебская ООШ Гунибского района,YES
37,ГКОУ Новомугурухская СОШ Чародинского района,YES
38,ГКОУ Новомуслахская СОШ Рутульского района,YES
39,ГКОУ Новотанусинская СОШ Хунзахского района,YES
40,ГКОУ Новотиндинская СОШ Цумадинского района,YES
41,ГКОУ Новоурадинская СОШ Шамильского района им. Асиятилова С.Х.,YES
42,ГКОУ Новохелетуринская СОШ Ботлихского района,YES
43,ГКОУ Новохуштадинская СОШ Цумадинского района,YES
44,ГКОУ Новоцатанихская СОШ Унцукульского района,YES
45,ГКОУ Новоцилитлинская СОШ Гумбетовского района,YES
46,ГКОУ Новоцолодинская СОШ Ахвахского района,YES
47,ГКОУ ООШ Ботлихского района,YES
48,ГКОУ Орджоникидзевская ООШ Тляратинского района,
49,ГКОУ Первомайская СОШ Гумбетовского района,YES
50,ГКОУ Ретлобская СОШ Цунтинского района,YES
51,ГКОУ Самилахская СОШ Хунзахского района,YES
52,ГКОУ Сангарская СОШ Лакского района,
53,ГКОУ Сафаралинская СОШ Гунибского района,YES
54,ГКОУ Свердловская СОШ Тляратинского района.,YES
55,ГКОУ СОГ Ахвахского района,YES
56,ГКОУ Согратлинская СОШ Гунибского района,YES
57,ГКОУ СОШ Ахвахского района,YES
58,ГКОУ СОШ Ботлихского района,YES
59,ГКОУ Тельманская СОШ Тляратинского района,YES
60,ГКОУ Теречная ООШ Тляратинского района,YES
61,ГКОУ Туршунайская ООШ Казбековского района,YES
62,ГКОУ Уллубиевская СОШ Гунибского района,YES
63,ГКОУ Ургулайская ООШ Цумадинского района,YES
64,ГКОУ Учтюбинская ООШ Казбековского района,
65,ГКОУ Хамзаюртовский Лицей Казбековского района,YES
66,ГКОУ Цадахская СОШ Чародинского района,YES
67,ГКОУ Цумилюхская СОШ Тляратинского района,
68,ГКОУ Шавинская СОШ Цумадинского района,YES
69,ГКОУ Шангодинско-Шитлибская СОШ Гунибского района,YES
70,ГКОУ Щедринская СОШ Тляратинского района,YES
71,ГКОУ Бабаюртовская школа-интернат №1,
72,ГКОУ Бавтугайская школа-интернат,
73,ГКОУ Кизлярская гимназия-интернат Культуры мира,YES
74,ГКОУ Кочубейская школа-интернат,
75,ГКОУ Курминская школа-интернат,
76,ГКОУ  шк.-интернат с. Черняевка,
77,ГКОУ Хасавюртовская шк.-интернат №9,
78,ГБОУ Лицей-интернат ЦОД,YES
79,ГБОУ РМЛИ ДОД,YES
80,ГКОУ Буйнакская школа-интернат №3,
81,ГКОУ ГГИМХО,YES
82,ГКОУ Дербентская школа-интернат №6,
83,ГКОУ  шк.-интернат №2 г. Каспийск,
84,ГКОУ Пять сторон света,YES
85,ГКОУ Санаторная школа-интернат №7,
86,ГКОУ Спортшкола-интернат,
87,ГКОУ Школа-интернат №2 г. Дербент,
88,ГБОУ РД Респуб. центр образования,
89,ГБПОУ ППК им. Батырмурзаева(кл.при ППК),
90,ГКОУ РЦДОДИ,YES
91,ГБОУ РЦСТАиПО,
92,ГКОУ Карабудахкентская спец. (корр.) школа-интернат VIII вида,
93,ГКОУ Магарамкентская спец. (корр.) школа-интернат VIII вида,
94,НОУ,
95,ИП Абсаламова Р.Г.,
96,ИП Халадаева Р.А. Ломоносовская гимназия,YES
97,НООШ Сарманд,
98,НОУ Ватан,
99,НОУ Возрождение,
100,НОУ Гуливер,
101,НОУ Гуманитарная гимназия им. Гамзатова,YES
102,НОУ Земфира,
103,НОУ Квант,
104,НОУ Развитие,
105,НОУ Сахаб,
106,НОУ ООШ Радуга,
107,ОАНО Родничок,
108,ОАНО Сафинат,
109,ОАНО школа им. Юсупова,
110,ООО НОУ школа-сад Планета детства,
111,  Агульский район,
112,МКОУ Арсугская СОШ,YES
113,МКОУ Бедюкская СОШ,YES
114,МКОУ Буркиханская СОШ,YES
115,МКОУ Буршагская СОШ,YES
116,МКОУ Гоинская СОШ,YES
117,МКОУ Дулдугская СОШ,YES
118,МКОУ Курагская СОШ,YES
119,МКОУ Миссинская СОШ,YES
120,МКОУ Ричинская СОШ,YES
121,МКОУ Тпигская СОШ,YES
122,МКОУ Фитинская СОШ,YES
123,МКОУ Худигская СОШ,YES
124,МКОУ Хутхульская СОШ,YES
125,МКОУ Чирагская СОШ,YES
126,МКОУ Яркугская СОШ,YES
127,  Акушинский район,
128,Айникабмахинская НОШ,
129,МКОУ Акушинская СОШ №1,
130,МКОУ Акушинская СОШ №2,YES
131,МКОУ Акушинская СОШ №3,
132,МКОУ Алиханмахинская СОШ,
133,МКОУ Аметеркмахинская СОШ,
134,МКОУ Балхарская СОШ,
135,МКОУ Бургимакмахинская СОШ,YES
136,МКОУ Бутринская СОШ,
137,МКОУ В/Мулебкинская СОШ,
138,МКОУ Гапшиминская СОШ,
139,МКОУ Гебинская СОШ,
140,МКОУ Герхмахинская СОШ,
141,МКОУ Гинтинская СОШ,YES
142,МКОУ Гуладтымахинская СОШ,
143,МКОУ Дубримахинская СОШ,YES
144,МКОУ Зильмукмахинская ООШ,YES
145,МКОУ Кавкамахинская СОШ,
146,МКОУ Камхамахинская СОШ,
