,CОШ
0, рмли дод
1, карабаглинская сош
2, ггимхо
3, кальялская сош
4, кубинская сош
5, мазадинская сош
6, оош ботлихского района
7, ретлобская сош
8, рцдоди
9, сог ахвахского района
10, сош ахвахского района
11, сош ботлихского района
12, анчикская сош
13, верхнеинхелинская оош
14, гаккойская сош
15, гимназия №1
16, гимназия №1
17, гимназия №1
18, гимназия №1
19, гимназия №1
20, гимназия №1
21, гимназия №3
22, гимназия №3
23, гимназия №3
24, гимназия перспектива
25, гимназия
26, гунибская сош
27, изанинская сош
28, кадарская сош
29, карамахинская сош
30, каратинская сош
31, каспийская гимназия
32, кванадинская сош
33, кмши
34, кудиябросинская сош
35, лологонитлинская сош
36, местерухская сош
37, нововикринская сош
38, первомайская сош
39, первомайская сош
40, саситлинская сош
41, сош № 14
42, сош № 2
43, сош № 2
44, сош № 2
45, сош № 2
46, сош № 4
47, сош № 4
48, сош № 4
49, сош № 4
50, сош № 4
51, сош № 4
52, сош № 4
53, сош № 4
54, сош № 4
55, сош № 9
56, сош № 9
57, сош №13
58, сош №15
59, сош №15
60, сош №19
61, сош №19
62, сош №2
63, сош №2
64, сош №2
65, сош №2
66, сош №50
67, тад-магитлинская сош
68, тиндинская сош
69, тиссинская сош
70, тлибишинская сош
71, тлондодинская сош
72, тукитинская сош
73, тукитинская сош
74, тукитинская сош
75, тукитинская сош
76, филялинская сош
77, халимбекаульская сош
78, халимбекаульская сош
79, цмурская сош
80, цолодинская сош
81, чиркейская гимназия
82, чиркейский образовательный центр
83, эрпелинская сош
84,мкоо шилягинская сош
85, 1-цовкринская оош
86, аваданская сош
87, аверьяновская сош
88, агадинская сош
89, агачкалинская сош
90, аджимажагатюртовская сош
91, адильотарская сош
92, адильянгиюртовская сош
93, азадоглынская сош
94, аймаумахинская сош
95, акайталинская сош
96, акбулатюртовская сош
97, аккинская сош
98, акнадинская сош
99, акушинская сош №2
100, алакский лицей
101, александрийская сош
102, алкадарская сош
103, алходжакентская сош
104, андийская сош №1
105, андийская сош №2
106, а-невская сош
107, ансалтинская сош
108, апшинская сош
109, араблярская сош
110, арадирихская сош
111, араканская сош
112, арахкентская сош
113, аргванинская сош
114, аркасская оош
115, арсугская сош
116, арчугская нош
117, аршинская сош
118, асаликентская оош
119, атрикская нош
120, ахарская сош
121, ахкентская сош
122, ахтынская оош
123, ахтынская сош №1
124, ашагакартасская оош
125, ашагасталказмалярская сош
126, ашагастальская сош
127, ашага-яракская сош
128, ашалинская оош
129, ашарская сош
130, ашильтинская сош
131, аялизимахинская сош
132, бакнинская оош
133, балакуринская сош
134, балтамахинская сош
135, бамматюртовская сош
136, банайюртовская сош
137, барнабская оош
138, бацадинская сош
139, башлыкентская сош
140, бедюкская сош
141, бежтинская сош
