,Наименование,Адрес,ИНН,Контакты
0,ГКОУНАГУРАТЛИНСКАЯСОШГУНИБСКОГОРАЙОНА,,,
1,ГКОУПЕРВОМАЙСКАЯСОШГУМБЕТОВСКОГОРАЙОНА,,,
2,ГКОУАКАРИНСКАЯООШ,,,
3,ГКОУАРАДИНСКАЯСОШХУНЗАХСКОГОРАЙОНАИМ.ГАЛБАЦОВАГ.К.,,,
4,ГКОУБУДЕНОВСКАЯООШАХВАХСКОГОРАЙОНА,,,
5,ГКОУДАРАДАМУРАДИНСКИЙЛИЦЕЙГЕРГЕБИЛЬСКОГОРАЙОНА,,,
6,ГКОУДЖУГУТСКАЯООШБОТЛИХСКОГОРАЙОНА,,,
7,ГКОУИНДИРАНСКАЯСОШАХВАХСКОГОРАЙОНА,,,
8,ГКОУКАМИЛУХСКАЯСОШТЛЯРАТИНСКОГОРАЙОНА,,,
9,ГКОУКРАСНОСЕЛЬСКАЯСОШХУНЗАХСКОГОРАЙОНА,,,
10,ГКОУНАНИБИКАНСКАЯСОШГУМБЕТОВСКОГОРАЙОНА,,,
11,ГКОУНАРЫШСКАЯООШГУМБЕТОВСКОГОРАЙОНА,,,
12,ГКОУНОВОБУХТЫНСКАЯСРЕДНЯЯОБЩЕОБРАЗОВАТЕЛЬНАЯШКОЛАГУНИБСКОГОРАЙОНА,,,
13,ГКОУНОВОДАНУХСКАЯСОШГУМБЕТОВСКОГОРАЙОНА,,,
14,ГКОУНОВОХУШТАДИНСКАЯСОШЦУМАДИНСКОГОРАЙОНА,,,
15,ГКОУНОВОЦОЛОДИНСКАЯСОШАХВАХСКОГОРАЙОНА,,,
16,ГКОУКГИКУЛЬТУРАМИРА,,,
17,ГКОУКСОШИ,,,
18,ГКОУАЙТХАНСКАЯСОШБОТЛИХСКОГОРАЙОНА,,,
19,ГКОУАРКИДИНСКАЯСОШХУНЗАХСКОГОРАЙОНА,,,
20,ГКОУБАБАЮРТОВСКАЯСШИ№11,,,
21,ГКОУБСШИИМ.М.Г.ГАМЗАТОВА,,,
22,ГКОУБСШИ№3,,,
23,ГКОУБСШИ№7,,,
24,ГКОУГГИМХО,,,
25,ГКОУГОШИ№2,,,
26,ГКОУГОРЬКОВСКАЯООШУНЦУКУЛЬСКОГОРАЙОНА,,,
27,ГКОУДЖУРМУТСКАЯСОШТЛЯРАТИНСКОГОРАЙОНА,,,
28,ГКОУКАЗИЮРТОВСКАЯСРЕДНЯЯОБЩЕОБРАЗОВАТЕЛЬНАЯШКОЛААХВАХСКОГОРАЙОНА,,,
29,ГКОУКАЛЬЯЛСКАЯСОШРУТУЛЬСКОГОРАЙОНА,,,
30,ГКОУКАРАТЮБИНСКАЯООШТЛЯРАТИНСКОГОРАЙОНА,,,
31,ГКОУКАРАУЗЕКСКАЯСОШ,,,
32,ГКОУКачалайскаяСОШЦунтинскогорайона,,,
33,ГКОУКГИКУЛЬТУРАМИРА,,,
34,ГКОУКИКУНИКУТАНСКАЯООШГЕРГЕБИЛЬСКОГОРАЙОНА,,,
35,ГКОУКИРОВСКАЯСРЕДНЯЯОБЩЕОБРАЗОВАТЕЛЬНАЯШКОЛАТЛЯРАТИНСКОГОРАЙОНА,,,
36,ГКОУКСКОШИ,,,
37,ГКОУКСОШИ,,,
38,ГКОУКУБИНСКАЯСОШЛАКСКОГОРАЙОНА,,,
39,ГКОУКУРМИНСКАЯСШИ,,,
40,ГКОУМАЗАДИНСКАЯСОШТЛЯРАТИНСКОГОРАЙОНА,,,
41,ГКОУНОВОБОРЧИНСКАЯСОШ,,,
42,ГКОУНОВОГАГАРСКАЯООШТЛЯРАТИНСКОГОРАЙОНА,,,
43,ГКОУНОВОДАНУХСКАЯСОШГУМБЕТОВСКОГОРАЙОНА,,,
44,ГКОУНОВОМЕГЕБСКАЯООШГУНИБСКОГОРАЙОНА,,,
45,ГКОУНОВОМЕГЕБСКАЯООШГУНИБСКОГОРАЙОНА,,,
46,ГКОУНОВОМУСЛАХСКАЯСОШРУТУЛЬСКОГОРАЙОНА,,,
47,ГКОУНОВОМУСЛАХСКАЯСОШРУТУЛЬСКОГОРАЙОНА,,,
48,ГКОУНОВОТАНУСИНСКАЯСОШХУНЗАХСКОГОРАЙОНА,,,
49,ГКОУНОВОТИНДИНСКАЯСОШЦУМАДИНСКОГОРАЙОНА,,,
50,ГКОУНОВОУРАДИНСКАЯСОШШАМИЛЬСКОГОРАЙОНА,,,
51,ГКОУНОВОХЕЛЕТУРИНСКАЯСОШ,,,
52,ГКОУНОВОЦАТАНИХСКАЯСОШУНЦУКУЛЬСКОГОРАЙОНА,,,
53,ГКОУНОВОЦИЛИТЛИНСКАЯСОШГУМБЕТОВСКОГОРАЙОНА,,,
54,ГКОУНОВОЦИЛИТЛИНСКАЯСОШГУМБЕТОВСКОГОРАЙОНА,,,
55,ГКОУОБЩЕОБРАЗОВАТЕЛЬНАЯШКОЛАИНТЕРНАТС.ЧЕРНЯЕВКА,,,
56,ГКОУОБЩЕОБРАЗОВАТЕЛЬНАЯШКОЛАИНТЕРНАТС.БОТЛИХ,,,
57,ГКОУОБЩЕОБРАЗОВАТЕЛЬНАЯСРЕДНЯЯШКОЛАИНТЕРНАТ№6,,,
58,ГКОУООШБОТЛИХСКОГОРАЙОНА,,,
59,ГКОУОЖОНИКИДЗЕВСКАЯООШТЛЯРАТИНСКОГОРАЙОНА,,,
60,ГКОУПЯТЬСТОРОНСВЕТАГУСЕЙНАИОЛЬГИМАГОМАЕВЫХ,,,
61,ГКОУРЕСПУБЛИКАНСКАЯСПЕЦИАЛЬНАЯКОРРЕКЦИОННАЯШКОЛАИНТЕРНАТVIIIВИДА,,,
62,ГКОУРетлобскаяСОШЦунтинскогорайона,,,
63,ГКОУСАМИЛАХСКАЯСОШХУНЗАХСКОГОРАЙОНА,,,
64,ГКОУСАНГАРСКАЯСОШЛАКСКОГОРАЙОНА,,,
65,ГКОУСАФАРАЛИНСКАЯСОШГУНИБСКОГОРАЙОНА,,,
